TRADE_CODE,INN,FIELD
RU000A106E33,7728168971.0,кредитная организация
RU000A106VQ3,7728168971.0,кредитная организация
RU000A106VS9,7728168971.0,кредитная организация
RU000A106VT7,7728168971.0,кредитная организация
RU000A1074T5,7728168971.0,кредитная организация
RU000A105HJ9,7728168971.0,кредитная организация
RU000A105NH1,7728168971.0,кредитная организация
RU000A105UW5,7728168971.0,кредитная организация
RU000A106268,7728168971.0,кредитная организация
RU000A106AJ2,7728168971.0,кредитная организация
RU000A106KV6,7728168971.0,кредитная организация
RU000A0JUU90,7728168971.0,кредитная организация
RU000A0JV0U1,7728168971.0,кредитная организация
RU000A0JX5W4,7728168971.0,кредитная организация
RU000A0JXRV7,7728168971.0,кредитная организация
RU000A0ZYBM4,7728168971.0,кредитная организация
RU000A0ZYGB6,7728168971.0,кредитная организация
RU000A0ZYWB3,7728168971.0,кредитная организация
RU000A0ZYU21,7728168971.0,кредитная организация
RU000A0ZYCD1,4629016041.0,орган власти субъекта РФ
RU000A1029G6,2451000840.0,муниципальный орган власти 
RU000A102KT9,2310032246.0,муниципальный орган власти 
ALRS,1433000147.0,Добыча алмазов
RU000A101PG7,1433000147.0,Добыча алмазов
RU000A101PF9,1433000147.0,Добыча алмазов
RU000A101PD4,1433000147.0,Добыча алмазов
RU000A101PB8,1433000147.0,Добыча алмазов
RU000A101PC6,1433000147.0,Добыча алмазов
GPBS,7722515837.0,финансовый рынок_
GPBM,7722515837.0,финансовый рынок_
GPBC,7722515837.0,финансовый рынок_
GPBR,7722515837.0,финансовый рынок_
GPBW,7722515837.0,финансовый рынок_
RU000A0ZYPM4,7722515837.0,финансовый рынок_
RU000A0ZZVL1,7722515837.0,финансовый рынок_
RU000A0ZZVH9,7722515837.0,финансовый рынок_
RU000A101UR4,268008010.0,Производство прочих основных неорганических химических веществ
RU000A106JZ9,268008010.0,Производство прочих основных неорганических химических веществ
RU000A1025H2,7736153344.0,кредитная организация
RU000A101NQ1,7736153344.0,кредитная организация
RU000A100691,7736153344.0,кредитная организация
RU000A0JQAM6,7729355614.0,"Предоставление прочих финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению, не включенных в другие группировки"
RU000A0JTW83,7729355614.0,"Предоставление прочих финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению, не включенных в другие группировки"
RU000A0JV4R9,7729355614.0,"Предоставление прочих финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению, не включенных в другие группировки"
RU000A0ZZ1N0,7729355614.0,"Предоставление прочих финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению, не включенных в другие группировки"
RU000A0ZZ7C0,7729355614.0,"Предоставление прочих финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению, не включенных в другие группировки"
RU000A1004W6,7729355614.0,"Предоставление прочих финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению, не включенных в другие группировки"
RU000A100ET6,7729355614.0,"Предоставление прочих финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению, не включенных в другие группировки"
RU000A101590,7729355614.0,"Предоставление прочих финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению, не включенных в другие группировки"
RU000A0ZYLU6,7729355614.0,"Предоставление прочих финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению, не включенных в другие группировки"
RU000A0ZYQU5,7729355614.0,"Предоставление прочих финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению, не включенных в другие группировки"
RU000A0JX2R1,7729355614.0,"Предоставление прочих финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению, не включенных в другие группировки"
RU000A0ZYF20,7729355614.0,"Предоставление прочих финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению, не включенных в другие группировки"
RU000A0ZYF38,7729355614.0,"Предоставление прочих финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению, не включенных в другие группировки"
RU000A0ZYFM5,7729355614.0,"Предоставление прочих финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению, не включенных в другие группировки"
RU000A0ZYFN3,7729355614.0,"Предоставление прочих финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению, не включенных в другие группировки"
RU000A0JTZF1,7729355614.0,"Предоставление прочих финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению, не включенных в другие группировки"
RU000A0JUKX4,7729355614.0,"Предоставление прочих финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению, не включенных в другие группировки"
RU000A105MN1,7729355614.0,"Предоставление прочих финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению, не включенных в другие группировки"
RU000A1052E3,7729355614.0,"Предоставление прочих финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению, не включенных в другие группировки"
RU000A1055Q0,7729355614.0,"Предоставление прочих финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению, не включенных в другие группировки"
RU000A105G81,7729355614.0,"Предоставление прочих финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению, не включенных в другие группировки"
RU000A105SF4,7729355614.0,"Предоставление прочих финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению, не включенных в другие группировки"
RU000A1065K2,7729355614.0,"Предоставление прочих финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению, не включенных в другие группировки"
RU000A106CN0,7729355614.0,"Предоставление прочих финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению, не включенных в другие группировки"
RU000A0JRJB8,7825392577.0, данные отсутствуют
RU000A0JRJL7,7825392577.0, данные отсутствуют
RU000A0JS4J1,7825392577.0, данные отсутствуют
RU000A0JS4K9,7825392577.0, данные отсутствуют
RU000A0JS4L7,7825392577.0, данные отсутствуют
RU000A1004A2,7705503750.0,"Деятельность вспомогательная прочая, связанная с перевозками"
RU000A103YP6,7740000100.0,Деятельность железнодорожного транспорта
SUGB,7710186602.0,Деятельность по управлению ценными бумагами
MKBD,7710186602.0,Деятельность по управлению ценными бумагами
RU000A101UY0,7710186602.0,Деятельность по управлению ценными бумагами
SBMX,7710183778.0,финансовый рынок_
SBGB,7710183778.0,финансовый рынок_
SBCB,7710183778.0,финансовый рынок_
SBRB,7710183778.0,финансовый рынок_
SBRI,7710183778.0,финансовый рынок_
SBRS,7710183778.0,финансовый рынок_
SBPS,7710183778.0,финансовый рынок_
SBDS,7710183778.0,финансовый рынок_
SBWS,7710183778.0,финансовый рынок_
SBCS,7710183778.0,финансовый рынок_
SBMM,7710183778.0,финансовый рынок_
SBHI,7710183778.0,финансовый рынок_
SBGD,7710183778.0,финансовый рынок_
SBCN,7710183778.0,финансовый рынок_
SBBY,7710183778.0,финансовый рынок_
SBSC,7710183778.0,финансовый рынок_
RU000A0ZYC64,7710183778.0,финансовый рынок_
SBSP,7710183778.0,финансовый рынок_
RU000A102AH5,7710183778.0,финансовый рынок_
SBOG,7710183778.0,финансовый рынок_
SBBE,7710183778.0,финансовый рынок_
RU000A103RT2,7708397772.0,кредитная организация
RU000A102WL1,7708397772.0,кредитная организация
RU000A1037P0,7708397772.0,кредитная организация
OBLG,7701140866.0,финансовый рынок_
LQDT,7701140866.0,финансовый рынок_
EQMX,7701140866.0,финансовый рынок_
GOLD,7701140866.0,финансовый рынок_
ESGE,7701140866.0,финансовый рынок_
RU000A0JR2C1,7701140866.0,финансовый рынок_
RU000A0JR290,7701140866.0,финансовый рынок_
RU000A0JR2A5,7701140866.0,финансовый рынок_
RU000A0JR282,7701140866.0,финансовый рынок_
RU000A1000Y0,7701140866.0,финансовый рынок_
RU000A102PE0,7701140866.0,финансовый рынок_
RU000A102PF7,7701140866.0,финансовый рынок_
RU000A102PQ4,7701140866.0,финансовый рынок_
BCSB,5407191291.0,финансовый рынок_
RU0006922051,5407191291.0,финансовый рынок_
RU000A0HF0L2,5407191291.0,финансовый рынок_
RU0006922044,5407191291.0,финансовый рынок_
RU0006922010,5407191291.0,финансовый рынок_
RU000A0JP708,5407191291.0,финансовый рынок_
RU000A0JP799,5407191291.0,финансовый рынок_
RU000A0JP773,5407191291.0,финансовый рынок_
RU000A0JPRL4,5407191291.0,финансовый рынок_
RU000A0JPRP5,5407191291.0,финансовый рынок_
RU000A0JVHY6,5407191291.0,финансовый рынок_
RU000A0JVJ29,5407191291.0,финансовый рынок_
RU000A100EQ2,5407191291.0,финансовый рынок_
RU000A1007R9,5407191291.0,финансовый рынок_
RU000A102Q33,5407191291.0,финансовый рынок_
RU000A103EX2,5407191291.0,финансовый рынок_
RU000A103JE1,5407191291.0,финансовый рынок_
RU000A1040F5,5407191291.0,финансовый рынок_
RU000A105TU1,5407191291.0,финансовый рынок_
INGO,7705136973.0,финансовый рынок_
INEM,7705136973.0,финансовый рынок_
INFL,7705136973.0,финансовый рынок_
INRU,7705136973.0,финансовый рынок_
YUAN,7705136973.0,финансовый рынок_
VTBR,7702070139.0,кредитная организация
RU000A103BE8,7702070139.0,кредитная организация
RU000A104636,7702070139.0,кредитная организация
RU000A105HE0,7702070139.0,кредитная организация
RU000A1070B1,7702070139.0,кредитная организация
RU000A107613,7702070139.0,кредитная организация
RU000A0JV3Q3,7702070139.0,кредитная организация
RU000A102QJ7,7702070139.0,кредитная организация
RU000A102879,7702070139.0,кредитная организация
RU000A102QL3,7702070139.0,кредитная организация
RU000A102887,7702070139.0,кредитная организация
RU000A102QM1,7702070139.0,кредитная организация
RU000A102QN9,7702070139.0,кредитная организация
RU000A1034P7,7702070139.0,кредитная организация
RU000A1034Q5,7702070139.0,кредитная организация
RU000A103S71,7702070139.0,кредитная организация
RU000A103S89,7702070139.0,кредитная организация
RU000A103S97,7702070139.0,кредитная организация
RU000A103SA0,7702070139.0,кредитная организация
RU000A103SB8,7702070139.0,кредитная организация
RU000A103SC6,7702070139.0,кредитная организация
RU000A104JW1,7702070139.0,кредитная организация
RU000A1014J2,7702070139.0,кредитная организация
RU000A1027F2,7702070139.0,кредитная организация
RU000A1027G0,7702070139.0,кредитная организация
RU000A1027K2,7702070139.0,кредитная организация
RU000A1027L0,7702070139.0,кредитная организация
RU000A1027T3,7702070139.0,кредитная организация
RU000A102EH7,7702070139.0,кредитная организация
RU000A102EJ3,7702070139.0,кредитная организация
RU000A102FA9,7702070139.0,кредитная организация
RU000A102ER6,7702070139.0,кредитная организация
RU000A102ED6,7702070139.0,кредитная организация
RU000A102EW6,7702070139.0,кредитная организация
RU000A102EX4,7702070139.0,кредитная организация
RU000A102EY2,7702070139.0,кредитная организация
RU000A102EZ9,7702070139.0,кредитная организация
RU000A102F02,7702070139.0,кредитная организация
RU000A102F10,7702070139.0,кредитная организация
RU000A102HL2,7702070139.0,кредитная организация
RU000A102HM0,7702070139.0,кредитная организация
RU000A0NNE02,7702070139.0,кредитная организация
RU000A0NNE28,7702070139.0,кредитная организация
RU000A0NNE36,7702070139.0,кредитная организация
RU000A0NNE44,7702070139.0,кредитная организация
RU000A0NNE69,7702070139.0,кредитная организация
RU000A0NNE77,7702070139.0,кредитная организация
RU000A0NNE85,7702070139.0,кредитная организация
RU000A0NNE93,7702070139.0,кредитная организация
RU000A0NNEA2,7702070139.0,кредитная организация
RU000A0NNEB0,7702070139.0,кредитная организация
RU000A0NNEC8,7702070139.0,кредитная организация
RU000A0NNED6,7702070139.0,кредитная организация
RU000A0NNEE4,7702070139.0,кредитная организация
RU000A0NNEF1,7702070139.0,кредитная организация
RU000A0NNEG9,7702070139.0,кредитная организация
RU000A0NNEK1,7702070139.0,кредитная организация
RU000A0NNEL9,7702070139.0,кредитная организация
RU000A0NNEM7,7702070139.0,кредитная организация
RU000A0NNEN5,7702070139.0,кредитная организация
RU000A0NNEP0,7702070139.0,кредитная организация
RU000A0NNEQ8,7702070139.0,кредитная организация
RU000A102Y74,7702070139.0,кредитная организация
RU000A103182,7702070139.0,кредитная организация
RU000A1031B3,7702070139.0,кредитная организация
RU000A1031C1,7702070139.0,кредитная организация
RU000A103141,7702070139.0,кредитная организация
RU000A103158,7702070139.0,кредитная организация
RU000A103166,7702070139.0,кредитная организация
RU000A103174,7702070139.0,кредитная организация
RU000A103489,7702070139.0,кредитная организация
RU000A103497,7702070139.0,кредитная организация
RU000A1034A9,7702070139.0,кредитная организация
RU000A1034B7,7702070139.0,кредитная организация
RU000A1034D3,7702070139.0,кредитная организация
RU000A1034E1,7702070139.0,кредитная организация
RU000A1034F8,7702070139.0,кредитная организация
RU000A1034G6,7702070139.0,кредитная организация
RU000A1034H4,7702070139.0,кредитная организация
RU000A103QA4,7702070139.0,кредитная организация
RU000A103QB2,7702070139.0,кредитная организация
RU000A103QC0,7702070139.0,кредитная организация
RU000A103QD8,7702070139.0,кредитная организация
RU000A103QE6,7702070139.0,кредитная организация
RU000A103TW2,7702070139.0,кредитная организация
RU000A103TX0,7702070139.0,кредитная организация
RU000A103TY8,7702070139.0,кредитная организация
RU000A103TZ5,7702070139.0,кредитная организация
RU000A103U02,7702070139.0,кредитная организация
RU000A103U10,7702070139.0,кредитная организация
RU000A103U28,7702070139.0,кредитная организация
RU000A103U36,7702070139.0,кредитная организация
RU000A103U44,7702070139.0,кредитная организация
RU000A103U51,7702070139.0,кредитная организация
RU000A103XX2,7702070139.0,кредитная организация
RU000A103XY0,7702070139.0,кредитная организация
RU000A103XZ7,7702070139.0,кредитная организация
RU000A103XH5,7702070139.0,кредитная организация
RU000A103XJ1,7702070139.0,кредитная организация
RU000A103XK9,7702070139.0,кредитная организация
RU000A103XL7,7702070139.0,кредитная организация
RU000A103XM5,7702070139.0,кредитная организация
RU000A103XN3,7702070139.0,кредитная организация
RU000A103XQ6,7702070139.0,кредитная организация
RU000A104545,7702070139.0,кредитная организация
RU000A104552,7702070139.0,кредитная организация
RU000A104578,7702070139.0,кредитная организация
RU000A104586,7702070139.0,кредитная организация
RU000A104594,7702070139.0,кредитная организация
RU000A1045A5,7702070139.0,кредитная организация
RU000A1045B3,7702070139.0,кредитная организация
RU000A1045C1,7702070139.0,кредитная организация
RU000A1045D9,7702070139.0,кредитная организация
RU000A104D69,7702070139.0,кредитная организация
RU000A104D77,7702070139.0,кредитная организация
RU000A104DB8,7702070139.0,кредитная организация
RU000A104DC6,7702070139.0,кредитная организация
RU000A104DD4,7702070139.0,кредитная организация
RU000A1055Z1,7702070139.0,кредитная организация
RU000A1057Q6,7702070139.0,кредитная организация
RU000A105ZN3,7702070139.0,кредитная организация
RU000A106DN8,7702070139.0,кредитная организация
RU000A106M25,7702070139.0,кредитная организация
RU000A105RQ3,7702070139.0,кредитная организация
RU000A106045,7702070139.0,кредитная организация
RU000A106A94,7702070139.0,кредитная организация
RU000A105PY1,7702070139.0,кредитная организация
RU000A105Z70,7702070139.0,кредитная организация
RU000A1067N2,7702070139.0,кредитная организация
RU000A106FQ6,7702070139.0,кредитная организация
RU000A106M41,7702070139.0,кредитная организация
RU000A106MQ2,7702070139.0,кредитная организация
RU000A106U33,7702070139.0,кредитная организация
RU000A106U41,7702070139.0,кредитная организация
RU000A106TM6,7702070139.0,кредитная организация
RU000A1070F2,7702070139.0,кредитная организация
RU000A1078F5,7702070139.0,кредитная организация
RU000A0P1L74,7702070139.0,кредитная организация
RU000A0P1L82,7702070139.0,кредитная организация
RU000A0P1L90,7702070139.0,кредитная организация
RU000A0P1LA6,7702070139.0,кредитная организация
RU000A0P1LB4,7702070139.0,кредитная организация
RU000A0P1LC2,7702070139.0,кредитная организация
RU000A0P1LD0,7702070139.0,кредитная организация
RU000A0P1LE8,7702070139.0,кредитная организация
RU000A101KE3,7702070139.0,кредитная организация
RU000A101MW1,7702070139.0,кредитная организация
RU000A101NX7,7702070139.0,кредитная организация
RU000A101P01,7702070139.0,кредитная организация
RU000A101PS2,7702070139.0,кредитная организация
RU000A101SN7,7702070139.0,кредитная организация
RU000A101TF1,7702070139.0,кредитная организация
RU000A101TH7,7702070139.0,кредитная организация
RU000A101VF7,7702070139.0,кредитная организация
RU000A101VG5,7702070139.0,кредитная организация
RU000A0NNHL2,7702070139.0,кредитная организация
RU000A0UD6J8,7702070139.0,кредитная организация
RU000A0UD6R1,7702070139.0,кредитная организация
RU000A0UD6S9,7702070139.0,кредитная организация
RU000A106995,7702070139.0,кредитная организация
RU000A1069F4,7702070139.0,кредитная организация
RU000A1069H0,7702070139.0,кредитная организация
RU000A1069J6,7702070139.0,кредитная организация
RU000A0NR748,7702070139.0,кредитная организация
RU000A0NR755,7702070139.0,кредитная организация
RU000A0NRCD1,7702070139.0,кредитная организация
RU000A0NRCJ8,7702070139.0,кредитная организация
RU000A0NRCP5,7702070139.0,кредитная организация
RU000A0NTYA7,7702070139.0,кредитная организация
RU000A0NTYB5,7702070139.0,кредитная организация
RU000A0NX2N4,7702070139.0,кредитная организация
RU000A1072W3,7702070139.0,кредитная организация
RU000A1073V3,7702070139.0,кредитная организация
RU000A107407,7702070139.0,кредитная организация
RU000A0ZYMJ7,7000000885.0,орган власти субъекта РФ
RU000A1024L7,7000000885.0,орган власти субъекта РФ
RU000A0JS934,9909220306.0,финансовый рынок_
RU000A106JX4,9909220306.0,финансовый рынок_
RU000A1064L3,9909220306.0,финансовый рынок_
RU000A105V90,9909220306.0,финансовый рынок_
RU000A105KW6,9909220306.0,финансовый рынок_
RU000A105EV1,9909220306.0,финансовый рынок_
RU000A1057B8,9909220306.0,финансовый рынок_
RU000A1050H0,9909220306.0,финансовый рынок_
RU000A104TQ2,9909220306.0,финансовый рынок_
RU000A101PK9,9909220306.0,финансовый рынок_
RU000A0ZZDB0,9909220306.0,финансовый рынок_
RU000A0JXSD3,3444130624.0,орган власти субъекта РФ
RU000A0ZYHX8,7830002430.0,орган власти субъекта РФ
RU000A0ZYKJ1,7830002430.0,орган власти субъекта РФ
RU000A102A15,7830002430.0,орган власти субъекта РФ
RU000A102K88,7830002430.0,орган власти субъекта РФ
VKCO,3900015862.0,Деятельность холдинговых компаний
LENT,3906399157.0,Деятельность холдинговых компаний
RUAL,3906394938.0,Деятельность холдинговых компаний
RU000A106V57,3906394938.0,Деятельность холдинговых компаний
RU000A1076U8,3906394938.0,Деятельность холдинговых компаний
RU000A105C44,3906394938.0,Деятельность холдинговых компаний
RU000A105PQ7,3906394938.0,Деятельность холдинговых компаний
RU000A105Q06,3906394938.0,Деятельность холдинговых компаний
RU000A105104,3906394938.0,Деятельность холдинговых компаний
RU000A105112,3906394938.0,Деятельность холдинговых компаний
ENPG,3906382033.0,Деятельность холдинговых компаний
RU000A0JWM56,6315802231.0,орган власти субъекта РФ
RU000A0JXT41,6315802231.0,орган власти субъекта РФ
RU000A0ZZ9P8,6315802231.0,орган власти субъекта РФ
RU000A1020L5,6315802231.0,орган власти субъекта РФ
RU000A0ZYKU8,3905014118.0,орган власти субъекта РФ
RU000A102KN2,3905014118.0,орган власти субъекта РФ
RU000A104BC0,3905014118.0,орган власти субъекта РФ
RU000A105ND0,3905014118.0,орган власти субъекта РФ
RU000A0ZZSW4,4101121129.0,орган власти субъекта РФ
RU000A0JXYS9,2308040000.0,орган власти субъекта РФ
RU000A0ZZ8X4,2308040000.0,орган власти субъекта РФ
RU000A1011B5,2308040000.0,орган власти субъекта РФ
RU000A0ZYB40,4200000630.0,орган власти субъекта РФ
RU000A105NT6,4909032670.0,орган власти субъекта РФ
RU000A106YE3,4909032670.0,орган власти субъекта РФ
RU000A0ZZUT6,5200000021.0,орган власти субъекта РФ
RU000A101665,5200000021.0,орган власти субъекта РФ
RU000A102DS6,5200000021.0,орган власти субъекта РФ
RU000A1043K9,5200000021.0,орган власти субъекта РФ
RU000A102DR8,5503078620.0,орган власти субъекта РФ
RU000A0JVM81,5610008401.0,орган власти субъекта РФ
RU000A0ZYKH5,5610008401.0,орган власти субъекта РФ
RU000A1026B3,274034308.0,орган власти субъекта РФ
RU000A103DN5,274034308.0,орган власти субъекта РФ
RU000A106FT0,274034308.0,орган власти субъекта РФ
RU000A0JXUD9,1101481969.0,орган власти субъекта РФ
RU000A0JY031,1200000874.0,орган власти субъекта РФ
RU000A0JXR43,1435027673.0,орган власти субъекта РФ
RU000A0ZZ7E6,1435027673.0,орган власти субъекта РФ
RU000A0ZZNJ2,1435027673.0,орган власти субъекта РФ
RU000A100CN3,1435027673.0,орган власти субъекта РФ
RU000A1010D3,1435027673.0,орган власти субъекта РФ
RU000A101P27,1435027673.0,орган власти субъекта РФ
RU000A1033B9,1435027673.0,орган власти субъекта РФ
XS0767473852,7710168360.0,орган власти РФ
XS0971721963,7710168360.0,орган власти РФ
RU000A0JWHA4,7710168360.0,орган власти РФ
RU000A0JXTS9,7710168360.0,орган власти РФ
RU000A0JXU14,7710168360.0,орган власти РФ
RU000A0ZYYN4,7710168360.0,орган власти РФ
RU000A1006S9,7710168360.0,орган власти РФ
RU000A0ZZVE6,7710168360.0,орган власти РФ
RU000A102CK5,7710168360.0,орган власти РФ
RU000A102CL3,7710168360.0,орган власти РФ
RU000A1034K8,7710168360.0,орган власти РФ
SU24021RMFS6,7710168360.0,орган власти РФ
SU25085RMFS0,7710168360.0,орган власти РФ
SU26207RMFS9,7710168360.0,орган власти РФ
SU26212RMFS9,7710168360.0,орган власти РФ
SU26218RMFS6,7710168360.0,орган власти РФ
SU26219RMFS4,7710168360.0,орган власти РФ
SU26221RMFS0,7710168360.0,орган власти РФ
SU26222RMFS8,7710168360.0,орган власти РФ
SU26223RMFS6,7710168360.0,орган власти РФ
SU26224RMFS4,7710168360.0,орган власти РФ
SU26225RMFS1,7710168360.0,орган власти РФ
SU26226RMFS9,7710168360.0,орган власти РФ
SU26227RMFS7,7710168360.0,орган власти РФ
SU26228RMFS5,7710168360.0,орган власти РФ
SU26229RMFS3,7710168360.0,орган власти РФ
SU26230RMFS1,7710168360.0,орган власти РФ
SU26231RMFS9,7710168360.0,орган власти РФ
SU26232RMFS7,7710168360.0,орган власти РФ
SU26233RMFS5,7710168360.0,орган власти РФ
SU26234RMFS3,7710168360.0,орган власти РФ
SU26235RMFS0,7710168360.0,орган власти РФ
SU26236RMFS8,7710168360.0,орган власти РФ
SU26237RMFS6,7710168360.0,орган власти РФ
SU26238RMFS4,7710168360.0,орган власти РФ
SU26239RMFS2,7710168360.0,орган власти РФ
SU26240RMFS0,7710168360.0,орган власти РФ
SU26241RMFS8,7710168360.0,орган власти РФ
SU26242RMFS6,7710168360.0,орган власти РФ
SU26243RMFS4,7710168360.0,орган власти РФ
SU26244RMFS2,7710168360.0,орган власти РФ
SU29006RMFS2,7710168360.0,орган власти РФ
SU29007RMFS0,7710168360.0,орган власти РФ
SU29008RMFS8,7710168360.0,орган власти РФ
SU29009RMFS6,7710168360.0,орган власти РФ
SU29010RMFS4,7710168360.0,орган власти РФ
SU29013RMFS8,7710168360.0,орган власти РФ
SU29014RMFS6,7710168360.0,орган власти РФ
SU29015RMFS3,7710168360.0,орган власти РФ
SU29016RMFS1,7710168360.0,орган власти РФ
SU29017RMFS9,7710168360.0,орган власти РФ
SU29018RMFS7,7710168360.0,орган власти РФ
SU29019RMFS5,7710168360.0,орган власти РФ
SU29020RMFS3,7710168360.0,орган власти РФ
SU29021RMFS1,7710168360.0,орган власти РФ
SU29022RMFS9,7710168360.0,орган власти РФ
SU29023RMFS7,7710168360.0,орган власти РФ
SU29024RMFS5,7710168360.0,орган власти РФ
SU29025RMFS2,7710168360.0,орган власти РФ
SU46011RMFS1,7710168360.0,орган власти РФ
SU46012RMFS9,7710168360.0,орган власти РФ
SU46020RMFS2,7710168360.0,орган власти РФ
SU46023RMFS6,7710168360.0,орган власти РФ
SU52002RMFS1,7710168360.0,орган власти РФ
SU52003RMFS9,7710168360.0,орган власти РФ
SU52004RMFS7,7710168360.0,орган власти РФ
SU52005RMFS4,7710168360.0,орган власти РФ
SU53007RMFS9,7710168360.0,орган власти РФ
SU53008RMFS7,7710168360.0,орган власти РФ
SU53009RMFS5,7710168360.0,орган власти РФ
US78307AAE38,7710168360.0,орган власти РФ
XS0088543193,7710168360.0,орган власти РФ
US78307ACZ49,7710168360.0,орган власти РФ
XS0114288789,7710168360.0,орган власти РФ
RU000A101UG7,6661004608.0,орган власти субъекта РФ
RU000A102DQ0,6661004608.0,орган власти субъекта РФ
RU000A102HF4,6661004608.0,орган власти субъекта РФ
RU000A0JWZ77,6661004608.0,орган власти субъекта РФ
RU000A0ZYDU3,6661004608.0,орган власти субъекта РФ
RU000A0ZZQH9,6661004608.0,орган власти субъекта РФ
RU000A1016N9,6661004608.0,орган власти субъекта РФ
RU000A101Z17,6661004608.0,орган власти субъекта РФ
RU000A102CT6,6661004608.0,орган власти субъекта РФ
RU000A102H34,2634038135.0,орган власти субъекта РФ
RU000A102FV5,7453136570.0,орган власти субъекта РФ
RU000A102L61,7453136570.0,орган власти субъекта РФ
RU000A102L79,7453136570.0,орган власти субъекта РФ
RU000A1011Q3,5406634649.0,орган власти субъекта РФ
RU000A102895,5406634649.0,орган власти субъекта РФ
RU000A1043E2,5406634649.0,орган власти субъекта РФ
RU000A100XP4,5000001451.0,орган власти субъекта РФ
RU000A101988,5000001451.0,орган власти субъекта РФ
RU000A101WL3,5000001451.0,орган власти субъекта РФ
RU000A102CR0,5000001451.0,орган власти субъекта РФ
RU000A102G35,5000001451.0,орган власти субъекта РФ
RU000A0JWHW8,5406285846.0,орган власти субъекта РФ
RU000A0ZYH93,5406285846.0,орган власти субъекта РФ
RU000A100WF7,5406285846.0,орган власти субъекта РФ
RU000A0JX3M0,7727290538.0,"Предоставление прочих финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению, не включенных в другие группировки"
